,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Other,State Codes
16,0.014915823569400568,0.0,0.2112608469628504,0.0,0.06574159235414084,0.010437077618266885,0.024913024353181108,0.00015995521254048866,0.07026032710840964,0.026472587675450875,0.00019994401567561082,0.31991042508097733,0,0.25572839604910624,17
17,0.0017934921854983346,0.0,0.06520625160133231,0.003715090955675122,0.07186779400461184,0.0011529592621060721,0.002434025108890597,0.0,0.006277222649244171,0.004868050217781194,0.00025621316935690495,0.12272610812195747,0,0.719702792723546,18
18,0.005206906001644286,0.0,0.05563167991230474,0.004658810633050151,0.05398739380652234,0.000822143052891203,0.0021923814743765417,0.0,0.004384762948753083,0.016716908742121128,0.0,0.08057001918333791,0,0.7758289942449986,19
19,0.0007564296520423601,0.0,0.014750378214826021,0.0011346444780635401,0.08774583963691376,0.0007564296520423601,0.00416036308623298,0.0,0.0,0.004916792738275341,0.0,0.047655068078668684,0,0.8381240544629349,20
20,0.023527298850574713,0.0,0.10883620689655173,0.001257183908045977,0.07237787356321838,0.001257183908045977,0.0034123563218390806,0.00035919540229885057,0.06770833333333333,0.0077227011494252875,0.0,0.22988505747126436,0,0.4836566091954023,21
21,0.01901905701920887,0.00022777313795459722,0.052881330195125656,0.0008731303621592894,0.049312884367170295,0.0003036975172727963,0.02714296560625617,0.0,0.015260800242958015,0.005086933414319338,0.0003036975172727963,0.1898109482954977,0,0.6397767823248045,22
22,0.0,0.0,0.0071174377224199285,0.017793594306049824,0.03558718861209965,0.0,0.0,0.0,0.0,0.0,0.0,0.010676156583629894,0,0.9288256227758007,23
23,0.010759311732577718,0.000328528602521457,0.09071496037123732,0.0024639645189109276,0.1348609913350581,0.0016837090879224673,0.0037780789289967556,0.0,0.03342778530655825,0.012853681573652007,0.0027924931214323846,0.1624163278715453,0,0.5439201675495873,24
24,0.04468065940005405,0.00036032789838753263,0.1578236194937393,0.0072966399423475365,0.11467435366183226,0.0012611476443563643,0.01279164039275741,0.0,0.09152328619043329,0.04585172506981353,0.000540491847581299,0.17349788307359698,0,0.3496982253851004,25
25,0.007549324367188987,0.0,0.09814121677345683,0.00044407790395229336,0.09331979953054621,0.0018397513163737867,0.003552623231618347,0.00012687940112922667,0.04199708177377403,0.005392374547992134,6.343970056461333e-05,0.13905982363763242,0,0.6085136078157711,26
26,0.001760518459929069,0.0,0.05072334345418825,0.005689791544408441,0.08756665731125456,0.000561324726354196,0.0028576531523486336,0.0,0.011303038807950399,0.018013420763911922,2.5514760288827087e-05,0.06286836935166994,0,0.7586303676676958,27
27,0.0014858841010401188,0.0,0.032194155522535906,0.022288261515601784,0.09014363546310054,0.0,0.0,0.0,0.005448241703813769,0.01188707280832095,0.0,0.11986131748390293,0,0.716691431401684,28
28,0.0038565368299267257,9.641342074816814e-05,0.02699575780948708,0.011666023910528345,0.1210952564596992,0.0021210952564596993,0.0031816428846895488,0.0,0.011569610489780177,0.009834168916313151,0.0003856536829926726,0.1255302738141149,0,0.6836675665252603,29
29,0.0024489795918367346,0.0,0.02122448979591837,0.0,0.07510204081632653,0.00040816326530612246,0.008979591836734694,0.0,0.0016326530612244899,0.004081632653061225,0.0,0.02489795918367347,0,0.8612244897959184,30
